method,score,calls
cross-encoder,-11.080156326293945,1
cross-encoder,-11.079917907714844,1
cross-encoder,-11.079833984375,1
cross-encoder,-11.078645706176758,1
cross-encoder,-11.078385353088379,1
cross-encoder,-11.076370239257812,1
cross-encoder,-11.075769424438477,1
cross-encoder,-11.075008392333984,1
cross-encoder,-11.074847221374512,1
cross-encoder,-11.074686050415039,1
cross-encoder,-11.074644088745117,1
cross-encoder,-11.074409484863281,1
cross-encoder,-11.073298454284668,1
cross-encoder,-11.07305908203125,1
cross-encoder,-11.072964668273926,1
cross-encoder,-11.072673797607422,1
cross-encoder,-11.072393417358398,1
cross-encoder,-11.072368621826172,1
cross-encoder,-11.072211265563965,1
cross-encoder,-11.072093963623047,1
cross-encoder,-11.072019577026367,1
cross-encoder,-11.071881294250488,1
cross-encoder,-11.071873664855957,1
cross-encoder,-11.071810722351074,1
cross-encoder,-11.071808815002441,1
cross-encoder,-11.071271896362305,1
cross-encoder,-11.071270942687988,1
cross-encoder,-11.07050609588623,1
cross-encoder,-11.070158004760742,1
cross-encoder,-11.0701265335083,1
cross-encoder,-11.069319725036621,1
cross-encoder,-11.068587303161621,1
cross-encoder,-11.068093299865723,1
cross-encoder,-11.067676544189453,1
cross-encoder,-11.067268371582031,1
cross-encoder,-11.066656112670898,1
cross-encoder,-11.065778732299805,1
cross-encoder,-11.064488410949707,1
cross-encoder,-11.063949584960938,1
cross-encoder,-11.063800811767578,1
cross-encoder,-11.0635404586792,1
cross-encoder,-11.062646865844727,1
cross-encoder,-11.062544822692871,1
cross-encoder,-11.062503814697266,1
cross-encoder,-11.06201457977295,1
cross-encoder,-11.061864852905273,1
cross-encoder,-11.061776161193848,1
cross-encoder,-11.061735153198242,1
cross-encoder,-11.061136245727539,1
cross-encoder,-11.060189247131348,1
cross-encoder,-11.059924125671387,1
cross-encoder,-11.059464454650879,1
cross-encoder,-11.05906867980957,1
cross-encoder,-11.058490753173828,1
cross-encoder,-11.057844161987305,1
cross-encoder,-11.057727813720703,1
cross-encoder,-11.05769157409668,1
cross-encoder,-11.05764389038086,1
cross-encoder,-11.057575225830078,1
cross-encoder,-11.056833267211914,1
cross-encoder,-11.055242538452148,1
cross-encoder,-11.054389953613281,1
cross-encoder,-11.054362297058105,1
cross-encoder,-11.054019927978516,1
cross-encoder,-11.053973197937012,1
cross-encoder,-11.05335807800293,2
cross-encoder,-11.053133010864258,1
cross-encoder,-11.053075790405273,1
cross-encoder,-11.052877426147461,1
cross-encoder,-11.052874565124512,1
cross-encoder,-11.052867889404297,1
cross-encoder,-11.052587509155273,1
cross-encoder,-11.052194595336914,1
cross-encoder,-11.051778793334961,1
cross-encoder,-11.051298141479492,1
cross-encoder,-11.051131248474121,1
cross-encoder,-11.048977851867676,1
cross-encoder,-11.048337936401367,1
cross-encoder,-11.048331260681152,1
cross-encoder,-11.04819107055664,1
cross-encoder,-11.04791259765625,1
cross-encoder,-11.047760009765625,1
cross-encoder,-11.047183990478516,1
cross-encoder,-11.046958923339844,1
cross-encoder,-11.046554565429688,1
cross-encoder,-11.045736312866211,1
cross-encoder,-11.045570373535156,1
cross-encoder,-11.045308113098145,1
cross-encoder,-11.04451847076416,1
cross-encoder,-11.044394493103027,1
cross-encoder,-11.043499946594238,1
cross-encoder,-11.043294906616211,1
cross-encoder,-11.042407989501953,1
cross-encoder,-11.041757583618164,1
cross-encoder,-11.041296005249023,1
cross-encoder,-11.040964126586914,1
cross-encoder,-11.040887832641602,1
cross-encoder,-11.040481567382812,1
cross-encoder,-11.040300369262695,1
cross-encoder,-11.040240287780762,1
cross-encoder,-11.039534568786621,1
cross-encoder,-11.039165496826172,1
cross-encoder,-11.038596153259277,1
cross-encoder,-11.038187026977539,1
cross-encoder,-11.037782669067383,1
cross-encoder,-11.037615776062012,1
cross-encoder,-11.037561416625977,1
cross-encoder,-11.037557601928711,1
cross-encoder,-11.037446975708008,1
cross-encoder,-11.037239074707031,1
cross-encoder,-11.035426139831543,1
cross-encoder,-11.035325050354004,1
cross-encoder,-11.034265518188477,1
cross-encoder,-11.034069061279297,1
cross-encoder,-11.034049987792969,1
cross-encoder,-11.03338623046875,1
cross-encoder,-11.032696723937988,1
cross-encoder,-11.032395362854004,1
cross-encoder,-11.032133102416992,1
cross-encoder,-11.031889915466309,1
cross-encoder,-11.031257629394531,1
cross-encoder,-11.030285835266113,1
cross-encoder,-11.02969741821289,1
cross-encoder,-11.029230117797852,1
cross-encoder,-11.028589248657227,1
cross-encoder,-11.028301239013672,1
cross-encoder,-11.027856826782227,1
cross-encoder,-11.027472496032715,1
cross-encoder,-11.02714729309082,1
cross-encoder,-11.02653694152832,1
cross-encoder,-11.026491165161133,1
cross-encoder,-11.026416778564453,1
cross-encoder,-11.026366233825684,1
cross-encoder,-11.026144981384277,1
cross-encoder,-11.025781631469727,1
cross-encoder,-11.025700569152832,1
cross-encoder,-11.025276184082031,1
cross-encoder,-11.02468204498291,1
cross-encoder,-11.02424430847168,1
cross-encoder,-11.023809432983398,1
cross-encoder,-11.023290634155273,1
cross-encoder,-11.023186683654785,1
cross-encoder,-11.023055076599121,1
cross-encoder,-11.022253036499023,1
cross-encoder,-11.021968841552734,1
cross-encoder,-11.021942138671875,1
cross-encoder,-11.021461486816406,1
cross-encoder,-11.021330833435059,1
cross-encoder,-11.021318435668945,1
cross-encoder,-11.02109146118164,1
cross-encoder,-11.020883560180664,1
cross-encoder,-11.020313262939453,1
cross-encoder,-11.020244598388672,1
cross-encoder,-11.019729614257812,1
cross-encoder,-11.019462585449219,1
cross-encoder,-11.01856803894043,1
cross-encoder,-11.018037796020508,1
cross-encoder,-11.01766300201416,1
cross-encoder,-11.017478942871094,1
cross-encoder,-11.017248153686523,1
cross-encoder,-11.016788482666016,1
cross-encoder,-11.016685485839844,1
cross-encoder,-11.01661491394043,1
cross-encoder,-11.016401290893555,1
cross-encoder,-11.015386581420898,1
cross-encoder,-11.015288352966309,1
cross-encoder,-11.015279769897461,1
cross-encoder,-11.014934539794922,1
cross-encoder,-11.014883041381836,1
cross-encoder,-11.014840126037598,1
cross-encoder,-11.014253616333008,1
cross-encoder,-11.013029098510742,1
cross-encoder,-11.013018608093262,1
cross-encoder,-11.011598587036133,1
cross-encoder,-11.0108642578125,1
cross-encoder,-11.010506629943848,1
cross-encoder,-11.00914192199707,1
cross-encoder,-11.008420944213867,1
cross-encoder,-11.007655143737793,1
cross-encoder,-11.007034301757812,1
cross-encoder,-11.006908416748047,1
cross-encoder,-11.00687026977539,1
cross-encoder,-11.006498336791992,1
cross-encoder,-11.004791259765625,1
cross-encoder,-11.004485130310059,1
cross-encoder,-11.004364013671875,2
cross-encoder,-11.003785133361816,1
cross-encoder,-11.003278732299805,1
cross-encoder,-11.002351760864258,1
cross-encoder,-11.002335548400879,1
cross-encoder,-11.002116203308105,1
cross-encoder,-11.001598358154297,1
cross-encoder,-11.001533508300781,1
cross-encoder,-11.00123405456543,1
cross-encoder,-11.000651359558105,1
cross-encoder,-11.000553131103516,1
cross-encoder,-11.000509262084961,1
cross-encoder,-11.000139236450195,1
cross-encoder,-10.998394012451172,1
cross-encoder,-10.998241424560547,1
cross-encoder,-10.997110366821289,1
cross-encoder,-10.996665000915527,1
cross-encoder,-10.995862007141113,1
cross-encoder,-10.995710372924805,1
cross-encoder,-10.99561882019043,1
cross-encoder,-10.993597984313965,1
cross-encoder,-10.992555618286133,1
cross-encoder,-10.99209213256836,1
cross-encoder,-10.992043495178223,1
cross-encoder,-10.991491317749023,1
cross-encoder,-10.991151809692383,1
cross-encoder,-10.990707397460938,1
cross-encoder,-10.990394592285156,1
cross-encoder,-10.98997688293457,1
cross-encoder,-10.989823341369629,1
cross-encoder,-10.989765167236328,1
cross-encoder,-10.989686965942383,1
cross-encoder,-10.98966121673584,1
cross-encoder,-10.989501953125,1
cross-encoder,-10.988166809082031,1
cross-encoder,-10.988081932067871,1
cross-encoder,-10.987940788269043,1
cross-encoder,-10.987594604492188,1
cross-encoder,-10.98672866821289,1
cross-encoder,-10.986427307128906,1
cross-encoder,-10.985272407531738,1
cross-encoder,-10.985090255737305,1
cross-encoder,-10.98508071899414,1
cross-encoder,-10.984480857849121,1
cross-encoder,-10.983964920043945,1
cross-encoder,-10.983301162719727,1
cross-encoder,-10.98310661315918,1
cross-encoder,-10.982823371887207,1
cross-encoder,-10.982584953308105,1
cross-encoder,-10.982110977172852,1
cross-encoder,-10.981204986572266,1
cross-encoder,-10.980369567871094,1
cross-encoder,-10.97958755493164,1
cross-encoder,-10.978856086730957,1
cross-encoder,-10.978421211242676,1
cross-encoder,-10.978415489196777,1
cross-encoder,-10.97832202911377,1
cross-encoder,-10.97713565826416,1
cross-encoder,-10.977062225341797,1
cross-encoder,-10.97662353515625,1
cross-encoder,-10.97602653503418,1
cross-encoder,-10.975845336914062,1
cross-encoder,-10.97545051574707,1
cross-encoder,-10.973931312561035,1
cross-encoder,-10.973869323730469,1
cross-encoder,-10.973600387573242,1
cross-encoder,-10.973353385925293,1
cross-encoder,-10.972806930541992,1
cross-encoder,-10.972434997558594,1
cross-encoder,-10.972195625305176,1
cross-encoder,-10.971296310424805,1
cross-encoder,-10.970827102661133,1
cross-encoder,-10.97076416015625,1
cross-encoder,-10.969300270080566,1
cross-encoder,-10.969234466552734,1
cross-encoder,-10.96863079071045,1
cross-encoder,-10.968318939208984,1
cross-encoder,-10.966852188110352,1
cross-encoder,-10.966815948486328,1
cross-encoder,-10.966592788696289,1
cross-encoder,-10.966099739074707,1
cross-encoder,-10.96604061126709,1
cross-encoder,-10.965980529785156,1
cross-encoder,-10.965898513793945,1
cross-encoder,-10.965449333190918,1
cross-encoder,-10.965385437011719,1
cross-encoder,-10.964714050292969,1
cross-encoder,-10.963356018066406,1
cross-encoder,-10.963237762451172,1
cross-encoder,-10.961775779724121,1
cross-encoder,-10.961677551269531,1
cross-encoder,-10.960719108581543,1
cross-encoder,-10.95897102355957,1
cross-encoder,-10.958322525024414,1
cross-encoder,-10.958073616027832,1
cross-encoder,-10.95785903930664,1
cross-encoder,-10.957250595092773,1
cross-encoder,-10.95692253112793,1
cross-encoder,-10.956338882446289,1
cross-encoder,-10.955875396728516,1
cross-encoder,-10.955559730529785,1
cross-encoder,-10.955276489257812,1
cross-encoder,-10.955072402954102,1
cross-encoder,-10.954721450805664,1
cross-encoder,-10.95417308807373,1
cross-encoder,-10.953611373901367,1
cross-encoder,-10.953350067138672,1
