query_id,bm25_ndcg@10,relevant,can_move,cross-encoder,jev-score
PLAIN-2,0.8081027286021777,10,True,-0.0309,0.0151
PLAIN-2009,0.12647135138382856,1,True,-0.0175,-0.0175
PLAIN-2019,0.46927872602275644,1,True,0.0,0.0
PLAIN-2030,0.30260241349881345,1,True,0.0,0.0
PLAIN-2040,0.7573821447149967,11,True,-0.0663,-0.0702
PLAIN-2051,0.7133080652109929,12,True,0.0148,0.1568
PLAIN-2061,0.933745776545611,18,True,-0.0438,0.0663
PLAIN-207,0.2866919347890071,8,True,0.3341,0.2151
PLAIN-2071,0.5810820381115676,9,True,-0.1022,-0.0419
PLAIN-2081,1.0,1,True,0.0,0.0
PLAIN-2092,0.6489315753318465,5,True,0.0,0.0
PLAIN-2102,0.5352543167750639,9,True,0.2368,0.0516
PLAIN-2113,0.0,0,False,0.0,0.0
PLAIN-2124,0.3589542101716347,2,True,0.0,0.0
PLAIN-2134,0.0,0,False,0.0,0.0
PLAIN-2145,0.1482972305701491,1,True,0.0,0.0867
PLAIN-2156,0.644824486427155,3,True,0.0,0.0
PLAIN-2167,0.0,0,False,0.0,0.0
PLAIN-217,0.0,0,False,0.0,0.0
PLAIN-2177,0.29727159644205703,3,True,0.1311,0.1717
PLAIN-2187,0.38334277998463445,2,True,0.0,0.0
PLAIN-2197,0.857980942822373,8,True,0.009,0.009
PLAIN-2209,0.0,0,False,0.0,0.0
PLAIN-2220,0.23504554941448536,1,True,0.0,0.0
PLAIN-2230,0.0,0,False,0.0,0.0
PLAIN-2240,0.5517854393872873,5,True,-0.0044,0.0854
PLAIN-2250,0.0,0,False,0.0,0.0
PLAIN-2261,0.44903378752009243,5,True,0.02,0.0299
PLAIN-227,0.09478836436955078,1,True,0.1253,0.1253
PLAIN-2271,0.0,0,False,0.0,0.0
PLAIN-2281,0.0,0,False,0.0,0.0
PLAIN-2291,0.45221360703148816,2,True,-0.1131,-0.1618
PLAIN-23,0.2354691338950244,8,True,0.3494,0.5055
PLAIN-2301,0.0,0,False,0.0,0.0
PLAIN-2311,0.0,0,False,0.0,0.0
PLAIN-2321,0.0,0,False,0.0,0.0
PLAIN-2332,0.5100691314582919,5,True,-0.1504,-0.3108
PLAIN-2343,0.0,0,False,0.0,0.0
PLAIN-2354,0.5087403079104241,2,True,0.0444,0.0444
PLAIN-2364,0.0,0,False,0.0,0.0
PLAIN-2375,0.0,0,False,0.0,0.0
PLAIN-238,0.0,0,False,0.0,0.0
PLAIN-2386,0.0,0,False,0.0,0.0
PLAIN-2396,0.0,0,False,0.0,0.0
PLAIN-2408,0.0,0,False,0.0,0.0
PLAIN-2430,0.43735247915031,3,True,0.0316,0.0316
PLAIN-2440,0.0,0,False,0.0,0.0
PLAIN-2450,0.31488013066763093,4,True,-0.0125,-0.0812
PLAIN-2460,0.11496943328345773,3,True,0.0222,0.0936
PLAIN-2470,0.17796717146275912,4,True,0.2248,0.1311
PLAIN-248,0.17947710508581735,2,True,-0.021,-0.0438
PLAIN-2480,0.2152287951103975,6,True,0.17,0.0866
PLAIN-2490,0.5386485824602897,4,True,-0.2362,-0.3593
PLAIN-2500,0.059872671137193724,3,True,0.0667,0.1175
PLAIN-2510,0.8318477135310893,9,True,-0.037,0.0097
PLAIN-2520,0.12468135197397451,5,True,-0.0127,-0.025
PLAIN-2530,0.9276737537834677,17,True,0.0025,0.0356
PLAIN-2540,0.2615385214652794,4,True,0.0979,0.1369
